ID,Type,Species,Capture Method,Date,Time,Latitude,Longitude,Sex,Notch Pattern,Name,Found,Active,Exposure,Microhabitat,Habitat Notes,Emergent Vegetation,Submergent Vegetation,Water Depth,Notes
4616,tracked turtle,Terrapene ornata,Telemetry,8/19/21,9:31:40,41.34075759,-91.08540106,Female,"3,11L1,8R",Cuatro,Found,Active,0,On Land,,,,,
4650,tracked turtle,Terrapene ornata,Telemetry,8/26/21,9:47:11,41.34097308,-91.08444963,Female,"3,11L1,8R",Cuatro,Found,Not Active,10,On Land,,,,,
4675,tracked turtle,Terrapene ornata,Telemetry,9/1/21,9:13:37,41.34102111,-91.08434527,Female,"3,11L1,8R",Cuatro,Found,Not Active,0,On Land,,,,,
4681,tracked turtle,Terrapene ornata,Telemetry,9/8/21,11:37:05,41.34097325,-91.08456303,Female,"3,11L1,8R",Cuatro,Found,Not Active,0,On Land,,,,,
4703,tracked turtle,Terrapene ornata,Telemetry,9/15/21,11:02:30,41.34101467,-91.08430393,Female,"3,11L1,8R",Cuatro,Not Found,Not Active,0,On Land,,,,,
4718,tracked turtle,Terrapene ornata,Telemetry,9/22/21,10:59:09,41.34076059,-91.0853806,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,was on surface when found.  jetted into hole.
4742,tracked turtle,Terrapene ornata,Telemetry,9/29/21,10:41:08,41.34078696,-91.085435,Female,"3,11L1,8R",Cuatro,Found,Not Active,20,On Land,,,,,
4768,tracked turtle,Terrapene ornata,Telemetry,10/6/21,10:06:48,41.34076957,-91.08542134,Female,"3,11L1,8R",Cuatro,Not Found,Not Active,0,On Land,,,,,
4783,tracked turtle,Terrapene ornata,Telemetry,11/4/21,11:10:17,41.34083698,-91.08533471,Female,"3,11L1,8R",Cuatro,Not Found,Not Active,0,On Land,,,,,
4800,tracked turtle,Terrapene ornata,Telemetry,4/19/22,10:26:47,41.34090241,-91.0852993,Female,"3,11L1,8R",Cuatro,Not Found,Not Active,0,On Land,,,,,still buried
4834,tracked turtle,Terrapene ornata,Telemetry,4/30/22,12:43:31,41.34074891,-91.08533756,Female,"3,11L1,8R",Cuatro,Found,Not Active,20,On Land,,,,,
4876,tracked turtle,Terrapene ornata,Telemetry,5/13/22,14:23:07,41.34072744,-91.0853038,Female,"3,11L1,8R",Cuatro,Found,Not Active,5,On Land,,,,,replaced transmitter and datalogger
4994,tracked turtle,Terrapene ornata,Telemetry,5/19/22,14:20:49,41.34079977,-91.08448332,Female,"3,11L1,8R",Cuatro,Found,Not Active,10,On Land,,,,,
5005,tracked turtle,Terrapene ornata,Telemetry,5/20/22,9:54:04,41.34093296,-91.0847203,Female,"3,11L1,8R",Cuatro,Found,Not Active,75,On Land,,,,,
5034,tracked turtle,Terrapene ornata,Telemetry,5/24/22,10:43:35,41.34086021,-91.08475991,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,form at finger tip
