Station,Lat,Long,Date,Hour,tmp(f),relhumidity,solar,precip,windspeed,soil_temp(4in),soil_temp(12in),soil_temp(24in),soil_temp(50in),soil12vwc
FRUI4,41.356,-91.13603,4/22/21,4:00,30.8822,64.47,0,0,2.0000033,46.562,52.214,53.168,52.754,3.9
FRUI4,41.356,-91.13603,4/22/21,5:00,33.6074,59.6,0,0,5.2690086,45.9194,52.142,53.186,52.754,3.9
FRUI4,41.356,-91.13603,4/22/21,6:00,33.9854,61.74,45.780003,0,6.757011,45.5072,51.98,53.186,52.736,3.9
FRUI4,41.356,-91.13603,4/22/21,7:00,34.772,62,57897.972,0,6.7780113,45.3308,51.8,53.168,52.7,3.9
FRUI4,41.356,-91.13603,4/22/21,8:00,37.553,58.34,548763.7,0,7.156012,45.203,51.638,53.186,52.7,3.9
FRUI4,41.356,-91.13603,4/22/21,9:00,44.1662,47.52,1165920,0,7.689013,45.329,51.44,53.186,52.7,3.9
FRUI4,41.356,-91.13603,4/22/21,10:00,48.452,40.29,1876476.1,0,10.790018,46.1138,51.224,53.15,52.682,3.9
FRUI4,41.356,-91.13603,4/22/21,11:00,52.232,35.36,2481989.5,0,10.550017,47.696,51.098,53.114,52.664,3.9
FRUI4,41.356,-91.13603,4/22/21,12:00,54.482,33.93,2936844,0,9.300015,50.018,50.936,53.078,52.7,3.9
FRUI4,41.356,-91.13603,4/22/21,13:00,55.724,32.55,3214679.7,0,9.170015,52.808,50.846,53.042,52.664,3.8
FRUI4,41.356,-91.13603,4/22/21,14:00,57.992,30.54,3130931.6,0,8.860015,55.562,50.828,53.006,52.646,3.8
FRUI4,41.356,-91.13603,4/22/21,15:00,58.298,29,2889629.4,0,6.490011,57.992,50.9,52.898,52.682,3.8
FRUI4,41.356,-91.13603,4/22/21,16:00,57.704,30.52,2506656.5,0,7.193012,59.828,51.044,52.916,52.61,3.8
FRUI4,41.356,-91.13603,4/22/21,17:00,59.936,28.21,2036232.2,0,5.492009,61.07,51.296,52.826,52.61,3.8
FRUI4,41.356,-91.13603,4/22/21,18:00,59,27.72,1516746.1,0,7.851013,61.628,51.602,52.79,52.646,3.8
FRUI4,41.356,-91.13603,4/22/21,19:00,57.452,30.11,791159.9,0,6.793011,61.43,51.98,52.772,52.628,3.8
FRUI4,41.356,-91.13603,4/22/21,20:00,52.556,38.39,163307.14,0,5.8260098,60.512,52.358,52.754,52.574,3.8
FRUI4,41.356,-91.13603,4/22/21,21:00,48.758,45.57,706.14,0,4.2860074,59.18,52.718,52.754,52.574,3.8
FRUI4,41.356,-91.13603,4/22/21,22:00,43.772,57.18,0,0,2.8510048,57.794,53.06,52.808,52.574,3.8
FRUI4,41.356,-91.13603,4/22/21,23:00,45.6494,55.3,0,0,4.289007,56.48,53.366,52.862,52.592,3.8
FRUI4,41.356,-91.13603,4/23/21,0:00,46.1048,54.71,0,0,4.324007,55.4,53.582,52.862,52.538,3.8
FRUI4,41.356,-91.13603,4/23/21,1:00,48.812,48.04,0,0,6.660011,54.572,53.762,52.934,52.538,3.8
FRUI4,41.356,-91.13603,4/23/21,2:00,48.2,50.39,0,0,6.4210105,53.978,53.87,53.024,52.538,3.8
FRUI4,41.356,-91.13603,4/23/21,3:00,46.85,54.85,0,0,4.223007,53.51,53.924,53.096,52.502,3.8
FRUI4,41.356,-91.13603,4/23/21,4:00,46.868,53.68,0,0,2.5540044,53.096,53.978,53.168,52.52,3.8
FRUI4,41.356,-91.13603,4/23/21,5:00,47.12,53.68,0,0,4.859008,52.682,53.96,53.258,52.502,3.8
FRUI4,41.356,-91.13603,4/23/21,6:00,45.2048,62.05,0,0,2.0560033,52.304,53.924,53.312,52.502,3.8
FRUI4,41.356,-91.13603,4/23/21,7:00,45.7286,58.6,23173.864,0,3.7080061,51.962,53.888,53.384,52.484,3.8
FRUI4,41.356,-91.13603,4/23/21,8:00,48.02,52.76,190153.82,0,4.641008,51.692,53.834,53.456,52.484,3.8
FRUI4,41.356,-91.13603,4/23/21,9:00,50.234,54.6,600707.9,0,9.2600155,51.638,53.762,53.474,52.448,3.8
FRUI4,41.356,-91.13603,4/23/21,10:00,50.882,59.73,785327.9,0,9.800016,51.98,53.672,53.528,52.448,3.8
FRUI4,41.356,-91.13603,4/23/21,11:00,52.232,62.99,994950,0,12.21002,52.574,53.618,53.564,52.466,3.8
FRUI4,41.356,-91.13603,4/23/21,12:00,52.97,64.54,1010844.24,0,11.080018,53.258,53.546,53.582,52.43,3.8
FRUI4,41.356,-91.13603,4/23/21,13:00,52.322,67.71,629694.03,0,11.3500185,53.888,53.51,53.618,52.448,3.8
FRUI4,41.356,-91.13603,4/23/21,14:00,53.258,65.91,894966.06,0,10.680018,54.266,53.456,53.618,52.394,3.8
FRUI4,41.356,-91.13603,4/23/21,15:00,54.068,65.78,1072848,0,11.840019,54.698,53.456,53.654,52.412,3.8
FRUI4,41.356,-91.13603,4/23/21,16:00,56.444,63.39,1659246.1,0,10.280017,55.346,53.51,53.618,52.448,3.8
FRUI4,41.356,-91.13603,4/23/21,17:00,55.166,65.73,1290413.8,0,11.540019,56.318,53.546,53.654,52.412,3.8
FRUI4,41.356,-91.13603,4/23/21,18:00,55.04,67.09,762545.9,0,9.990016,56.966,53.6,53.69,52.448,3.8
FRUI4,41.356,-91.13603,4/23/21,19:00,54.482,68.93,332098.75,0,6.4360104,57.092,53.672,53.654,52.448,3.8
FRUI4,41.356,-91.13603,4/23/21,20:00,53.564,71.84,37500.534,0,2.7400045,56.822,53.798,53.708,52.394,3.8
FRUI4,41.356,-91.13603,4/23/21,21:00,52.862,74.27,198.29997,0,0.32300055,56.372,53.924,53.69,52.43,3.8
FRUI4,41.356,-91.13603,4/23/21,22:00,52.556,73.15,0,0,2.998005,55.886,54.05,53.726,52.394,3.8
FRUI4,41.356,-91.13603,4/23/21,23:00,51.044,76.33,0,0,2.2440038,55.418,54.14,53.744,52.412,3.8
FRUI4,41.356,-91.13603,4/24/21,0:00,47.822,83.7,0,0,0,54.914,54.23,53.762,52.448,3.8
FRUI4,41.356,-91.13603,4/24/21,1:00,43.952,89.8,0,0,0,54.266,54.302,53.798,52.412,3.8
FRUI4,41.356,-91.13603,4/24/21,2:00,42.7856,92.5,0,0,0,53.582,54.338,53.834,52.412,3.8
FRUI4,41.356,-91.13603,4/24/21,3:00,41.8172,94.3,0,0,0,52.97,54.374,53.924,52.448,3.8
FRUI4,41.356,-91.13603,4/24/21,4:00,40.7858,95.8,0,0,0,52.412,54.356,53.888,52.43,3.8
FRUI4,41.356,-91.13603,4/24/21,5:00,41.036,96.1,0,0,0.13700023,51.89,54.32,53.942,52.43,3.8
FRUI4,41.356,-91.13603,4/24/21,6:00,40.199,97.3,91.5,0,0,51.422,54.284,53.996,52.43,3.8
FRUI4,41.356,-91.13603,4/24/21,7:00,40.9568,98.1,73953.96,0,0,50.918,54.212,54.014,52.43,3.8
FRUI4,41.356,-91.13603,4/24/21,8:00,45.2372,94,347893.22,0,0,50.558,54.14,54.032,52.448,3.8
FRUI4,41.356,-91.13603,4/24/21,9:00,52.664,76.86,1020420.04,0,0.015000025,50.702,54.014,54.032,52.412,3.8
FRUI4,41.356,-91.13603,4/24/21,10:00,56.498,70.34,1605293.6,0,1.1920019,51.476,53.906,54.05,52.43,3.8
FRUI4,41.356,-91.13603,4/24/21,11:00,59.954,62.17,2305938.2,0,2.1980035,52.88,53.816,54.068,52.43,3.8
FRUI4,41.356,-91.13603,4/24/21,12:00,61.322,57.34,2311854,0,3.8840063,55.004,53.708,54.032,52.448,3.8
FRUI4,41.356,-91.13603,4/24/21,13:00,62.87,54.06,2336802.5,0,9.070015,57.128,53.672,54.068,52.43,3.8
FRUI4,41.356,-91.13603,4/24/21,14:00,63.104,52.71,2956254.4,0,12.660021,58.964,53.69,54.014,52.466,3.8
FRUI4,41.356,-91.13603,4/24/21,15:00,61.394,55.36,3036594.5,0,15.290026,60.836,53.798,54.014,52.466,3.8
FRUI4,41.356,-91.13603,4/24/21,16:00,61.43,51.33,2602068.8,0,12.920021,62.42,53.978,54.032,52.412,3.8
FRUI4,41.356,-91.13603,4/24/21,17:00,61.088,50.18,2113631.8,0,13.580023,63.374,54.212,54.014,52.448,3.8
FRUI4,41.356,-91.13603,4/24/21,18:00,59.648,49.63,1358412.1,0,14.330024,63.68,54.518,54.032,52.466,3.8
FRUI4,41.356,-91.13603,4/24/21,19:00,57.776,51.2,642066,0,14.520023,63.284,54.842,54.05,52.502,3.8
FRUI4,41.356,-91.13603,4/24/21,20:00,53.204,56.34,193544.22,0,12.250021,62.348,55.166,54.086,52.466,3.8
FRUI4,41.356,-91.13603,4/24/21,21:00,49.748,62.15,1046.52,0,9.810016,61.142,55.49,54.104,52.484,3.8
FRUI4,41.356,-91.13603,4/24/21,22:00,47.606,64.84,0,0,8.040013,59.864,55.76,54.176,52.502,3.8
FRUI4,41.356,-91.13603,4/24/21,23:00,45.5,67.53,0,0,6.3200107,58.676,55.994,54.23,52.466,3.8
FRUI4,41.356,-91.13603,4/25/21,0:00,42.8414,72.13,0,0,9.810016,57.524,56.192,54.32,52.466,3.8
FRUI4,41.356,-91.13603,4/25/21,1:00,40.0946,75.47,0,0,10.280017,56.534,56.3,54.41,52.484,3.8
FRUI4,41.356,-91.13603,4/25/21,2:00,37.4432,81.4,0,0,3.3280056,55.562,56.354,54.428,52.466,3.8
FRUI4,41.356,-91.13603,4/25/21,3:00,36.1616,84.5,0,0,2.0170033,54.608,56.354,54.554,52.502,3.8
